Squad,# Pl,Age,Poss,MP,Gls,Ast,G+A,xG,xAG,xG+xAG,
Arsenal,24,24.9,56.8,19,2.26,1.63,3.89,1.96,1.38,3.34,
Aston Villa,24,27.7,48.7,20,1.15,0.75,1.90,1.23,0.88,2.11,
Bournemouth,26,26.9,40.6,20,0.95,0.75,1.70,0.76,0.61,1.37,
Brentford,25,26.8,43.3,20,1.55,0.80,2.35,1.37,0.84,2.21,
Brighton,23,27.4,57.1,19,1.74,1.05,2.79,1.53,1.11,2.65,
Chelsea,29,27.8,57.9,20,1.10,0.75,1.85,1.19,0.92,2.11,
Crystal Palace,21,27.7,45.6,20,0.85,0.75,1.60,0.92,0.71,1.62,
Everton,28,26.8,46.2,20,0.70,0.55,1.25,1.02,0.70,1.72,
Fulham,27,28.9,47.2,21,1.38,0.86,2.24,1.36,0.80,2.15,
Leeds United,26,25.7,50.2,19,1.32,0.95,2.26,1.36,0.92,2.28,
Leicester City,23,27.1,51.0,20,1.30,0.90,2.20,1.14,0.91,2.05,
Liverpool,27,28.2,59.8,19,1.58,1.26,2.84,1.76,1.39,3.15,
Manchester City,21,27.8,65.2,20,2.60,2.05,4.65,2.07,1.59,3.66,
Manchester Utd,23,27.6,51.9,20,1.50,1.25,2.75,1.48,1.18,2.65,
Newcastle Utd,24,28.1,50.8,20,1.60,1.00,2.60,1.64,1.20,2.84,
Nott'ham Forest,29,26.6,40.1,20,0.75,0.45,1.20,1.15,0.85,2.01,
Southampton,28,25.1,44.4,20,0.85,0.60,1.45,0.98,0.81,1.79,
Tottenham,25,28.4,51.0,21,1.81,1.19,3.00,1.45,1.08,2.54,
West Ham,25,28.7,44.9,20,0.85,0.35,1.20,1.28,0.77,2.06,
Wolves,29,26.7,48.9,20,0.60,0.40,1.00,0.95,0.68,1.63,
